"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"28-Aug-2024","EQ","1,144.05","1,145.65","1,068.00","1,148.00","1,076.00","1,073.25","1,103.68","1,189.00","412.35","23,29,363","2,57,08,65,674.90","82,743"
"27-Aug-2024","EQ","1,013.10","1,189.00","1,013.10","1,009.20","1,144.00","1,148.00","1,116.01","1,189.00","412.35","1,14,80,772","12,81,27,09,192.00","3,64,359"
"26-Aug-2024","EQ","980.00","1,013.00","976.05","993.15","1,009.80","1,009.20","1,000.24","1,090.80","412.35","6,37,453","63,76,09,119.95","40,822"
"23-Aug-2024","EQ","1,015.90","1,019.15","984.10","1,015.90","992.00","993.15","994.12","1,090.80","375.05","4,59,934","45,72,29,169.15","27,608"
"22-Aug-2024","EQ","1,056.00","1,057.00","1,011.10","1,049.55","1,018.00","1,015.90","1,029.73","1,090.80","375.05","5,86,078","60,35,04,561.90","29,706"
"21-Aug-2024","EQ","1,005.00","1,063.35","995.00","1,003.30","1,042.00","1,049.55","1,031.50","1,090.80","375.05","11,20,018","1,15,53,01,189.50","29,389"
"20-Aug-2024","EQ","1,027.40","1,027.40","995.25","1,020.90","1,006.00","1,003.30","1,004.04","1,090.80","375.05","4,60,408","46,22,69,680.70","16,773"
"19-Aug-2024","EQ","1,020.90","1,037.00","1,004.25","1,005.45","1,017.00","1,020.90","1,021.57","1,090.80","375.05","10,96,501","1,12,01,49,302.55","23,694"
"16-Aug-2024","EQ","1,005.00","1,038.80","995.05","992.85","1,004.00","1,005.45","1,010.08","1,090.80","375.00","8,01,069","80,91,44,360.10","66,499"
"14-Aug-2024","EQ","1,022.00","1,030.00","980.05","1,016.35","995.00","992.85","994.12","1,090.80","375.00","6,30,522","62,68,14,328.65","42,359"
"13-Aug-2024","EQ","1,030.05","1,059.85","1,001.05","1,021.05","1,021.95","1,016.35","1,036.51","1,090.80","375.00","13,08,223","1,35,59,80,225.05","41,699"
"12-Aug-2024","EQ","1,052.25","1,058.45","996.00","1,075.35","1,018.00","1,021.05","1,019.43","1,090.80","375.00","32,41,552","3,30,45,50,962.50","1,51,237"
"09-Aug-2024","EQ","919.05","1,090.80","915.00","909.00","1,090.80","1,075.35","1,016.97","1,090.80","375.00","1,25,35,899","12,74,86,48,837.95","3,20,678"
"08-Aug-2024","EQ","849.00","915.00","846.30","843.45","901.95","909.00","894.15","915.00","375.00","30,33,793","2,71,26,63,574.75","1,42,105"
"07-Aug-2024","EQ","848.00","858.90","838.10","831.20","848.95","843.45","848.55","898.00","375.00","5,41,097","45,91,45,829.50","31,204"
"06-Aug-2024","EQ","840.10","867.30","820.00","823.65","833.00","831.20","850.66","898.00","375.00","7,71,583","65,63,51,313.05","39,542"
"05-Aug-2024","EQ","840.85","849.95","810.60","858.05","822.35","823.65","826.03","898.00","375.00","7,94,368","65,61,70,739.95","43,428"
"02-Aug-2024","EQ","875.55","884.60","855.20","884.85","859.75","858.05","870.43","898.00","368.15","7,13,048","62,06,58,866.10","38,235"
"01-Aug-2024","EQ","877.25","898.00","871.05","874.70","882.00","884.85","882.07","898.00","368.15","13,01,383","1,14,79,11,548.75","80,854"
"31-Jul-2024","EQ","827.45","898.00","826.80","821.95","874.00","874.70","874.66","898.00","368.15","54,44,682","4,76,22,61,734.45","1,88,476"
"30-Jul-2024","EQ","799.95","843.95","790.40","798.60","820.00","821.95","823.32","843.95","368.15","13,59,927","1,11,96,52,456.30","63,037"
"29-Jul-2024","EQ","797.00","833.00","785.55","774.75","799.15","798.60","810.76","833.00","368.15","21,61,042","1,75,20,78,517.40","66,039"
"26-Jul-2024","EQ","771.80","793.70","766.05","767.80","775.50","774.75","778.75","822.00","368.15","6,68,536","52,06,24,729.85","40,277"
"25-Jul-2024","EQ","736.35","771.00","727.75","739.30","768.50","767.80","757.63","822.00","368.15","6,44,889","48,85,90,158.20","28,735"
"24-Jul-2024","EQ","730.55","748.75","725.70","729.10","739.90","739.30","738.98","822.00","368.15","2,85,925","21,12,94,158.80","30,274"
"23-Jul-2024","EQ","737.05","740.50","699.00","733.35","729.00","729.10","723.26","822.00","368.15","3,83,463","27,73,43,555.80","27,791"
"22-Jul-2024","EQ","728.40","750.00","714.10","728.35","748.80","733.35","732.64","822.00","368.15","4,14,958","30,40,13,365.80","22,402"
"19-Jul-2024","EQ","774.90","779.60","725.00","771.80","729.95","728.35","745.37","822.00","368.15","4,61,721","34,41,52,685.95","28,678"
"18-Jul-2024","EQ","750.00","783.00","746.00","753.10","775.00","771.80","770.36","822.00","368.15","9,52,327","73,36,38,907.40","50,842"
"16-Jul-2024","EQ","760.50","762.85","749.75","756.95","755.20","753.10","755.30","822.00","368.15","2,52,175","19,04,67,785.55","17,051"
"15-Jul-2024","EQ","750.00","766.00","738.00","749.75","754.20","756.95","755.15","822.00","368.15","3,48,166","26,29,16,340.90","23,827"
"12-Jul-2024","EQ","760.05","763.65","740.00","759.45","750.05","749.75","751.08","822.00","350.55","1,82,057","13,67,39,231.85","14,621"
"11-Jul-2024","EQ","764.95","767.90","755.35","760.30","759.00","759.45","760.29","822.00","350.55","2,09,217","15,90,65,630.40","12,704"
"10-Jul-2024","EQ","771.35","791.40","753.05","764.55","763.00","760.30","777.90","822.00","350.55","12,20,880","94,97,27,578.35","57,838"
